Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_gp,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom
0:00:07,100,-3.9760,-0.7274,1.4147,0.0142,0.3992,0.3072,1.6750
0:00:11,200,-2.5268,-0.4466,1.0585,0.0110,0.5790,0.1611,1.8179
0:00:15,300,-1.9519,-0.6357,0.9096,0.0206,0.6103,0.1220,1.5479
0:00:19,400,-1.6779,-0.6066,1.5305,0.0093,0.7561,0.0910,0.9689
0:00:23,500,-1.9054,-0.4780,1.3331,0.0364,0.1748,0.0839,0.8958
0:00:27,600,-0.9722,-1.2756,1.0626,0.0096,1.2450,0.0872,0.9247
0:00:32,700,-1.4518,-0.7154,0.7183,0.0145,0.6740,0.0958,0.7408
0:00:36,800,-1.6522,-0.5401,0.6615,0.0111,0.5375,0.0850,0.6248
0:00:40,900,-1.4307,-0.6727,0.9916,0.0138,0.6703,0.0844,0.6182
0:00:44,1000,-1.2426,-0.7441,0.8401,0.0031,0.8630,0.0760,0.9012
0:00:59,1100,-1.0588,-0.9197,0.8938,0.0021,1.0829,0.0863,0.7313
0:01:03,1200,-1.1254,-0.8832,0.7783,0.0071,0.9148,0.0782,0.8546
0:01:07,1300,-1.0679,-0.7983,0.7530,0.0066,0.7880,0.0719,0.5735
0:01:12,1400,-0.9260,-0.9944,0.6067,0.0082,0.9415,0.0810,0.6035
0:01:16,1500,-0.8775,-0.9889,0.9379,0.0061,0.9918,0.0615,0.6792
0:01:20,1600,-0.7276,-0.8478,0.5647,0.0058,0.8259,0.0798,0.4345
0:01:25,1700,-0.7296,-0.9026,0.6263,0.0070,0.8635,0.0829,0.4752
0:01:29,1800,-0.6593,-0.9311,0.6988,0.0024,0.9511,0.0692,0.7523
0:01:33,1900,-0.6618,-0.8638,0.7832,0.0110,0.9324,0.0586,0.7306
0:01:38,2000,-0.4799,-0.8323,0.5996,0.0176,0.8642,0.0680,0.7820
0:01:53,2100,-0.4784,-0.7979,0.6680,0.0036,0.9357,0.0590,0.4254
0:01:57,2200,-0.2486,-0.7716,0.5773,0.0061,0.7584,0.0579,0.3608
0:02:02,2300,-0.2859,-0.6846,0.7588,0.0066,0.6387,0.0552,0.5072
0:02:06,2400,-0.2550,0.1555,0.5573,0.0053,-0.1065,0.0575,0.3551
0:02:10,2500,1.0462,-1.1805,0.6925,0.0025,1.1898,0.0537,0.5224
0:02:14,2600,0.5467,-0.6875,0.6380,0.0060,0.6522,0.0611,0.5085
0:02:19,2700,0.9416,-1.1016,0.7644,0.0082,1.0955,0.0530,0.4730
0:02:23,2800,0.8514,-1.0158,0.7081,0.0025,0.9692,0.0538,0.3657
0:02:27,2900,0.7126,-0.9055,0.6341,0.0049,0.9016,0.0560,0.2525
0:02:32,3000,0.7279,-0.9390,0.4840,0.0055,0.9138,0.0517,0.2285
0:02:47,3100,0.7061,-0.8759,0.5385,0.0082,0.9516,0.0599,0.1654
0:02:51,3200,0.9213,-1.1104,0.4999,0.0095,1.0435,0.0513,0.2669
0:02:55,3300,0.8838,-1.0377,0.5527,0.0036,0.7508,0.0558,0.1395
0:02:59,3400,0.5978,-0.8473,0.3605,0.0110,0.8509,0.0650,0.1291
0:03:04,3500,0.6348,-0.7467,0.8416,0.0029,0.7712,0.0495,0.1781
0:03:08,3600,0.8755,-1.0369,0.6397,0.0041,0.9791,0.0443,0.2465
0:03:13,3700,0.7848,-0.9965,0.2301,0.0083,1.0053,0.0480,0.1461
0:03:17,3800,0.5918,-0.7219,0.4011,0.0042,0.7307,0.0513,0.0607
0:03:21,3900,0.5353,-0.6974,0.2465,0.0055,0.8036,0.0501,0.0657
0:03:26,4000,0.5792,-0.7465,0.1872,0.0042,0.7236,0.0521,0.1270
0:03:41,4100,0.6692,-0.7895,0.6725,0.0062,0.7239,0.0459,0.0897
0:03:45,4200,0.6239,-0.7489,0.2403,0.0031,0.7931,0.0406,0.0300
0:03:49,4300,0.4940,-0.6239,0.7697,0.0052,0.6287,0.0457,0.0593
0:03:54,4400,0.4769,-0.6659,0.2648,0.0048,0.7203,0.0513,0.0814
0:03:58,4500,0.4598,-0.6498,0.1815,0.0065,0.6800,0.0403,0.0477
0:04:02,4600,0.6029,-0.7936,0.6321,0.0054,0.7396,0.0479,0.0818
0:04:07,4700,0.5083,-0.6915,0.3411,0.0072,0.8230,0.0483,0.0191
0:04:11,4800,0.3923,-0.6307,0.5130,0.0048,0.6780,0.0469,0.0938
0:04:15,4900,0.5264,-0.6830,0.1382,0.0043,0.7263,0.0457,0.0329
0:04:19,5000,0.4865,-0.6569,0.2094,0.0049,0.6276,0.0416,0.0692
0:04:34,5100,0.4473,-0.5853,0.7810,0.0069,0.6336,0.0434,0.1284
0:04:39,5200,0.4324,-0.5939,0.3105,0.0066,0.5447,0.0408,0.0418
0:04:43,5300,0.4291,-0.5962,0.2608,0.0048,0.6836,0.0424,0.0332
0:04:47,5400,0.2875,-0.4254,0.5038,0.0049,0.4409,0.0561,0.0626
0:04:52,5500,0.3014,-0.3958,0.4254,0.0057,0.4191,0.0362,0.0493
0:04:56,5600,0.2398,-0.4521,0.1300,0.0034,0.4639,0.0479,0.0548
0:05:00,5700,0.2348,-0.3883,0.2909,0.0044,0.4068,0.0404,0.0348
0:05:05,5800,0.2303,-0.3415,0.5415,0.0019,0.3802,0.0402,0.0212
0:05:09,5900,0.2719,-0.5650,0.1808,0.0024,0.5020,0.0565,0.0432
0:05:13,6000,0.2896,-0.3979,0.3093,0.0045,0.3416,0.0400,0.0557
0:05:28,6100,0.3031,-0.4591,0.3290,0.0054,0.4207,0.0457,0.0959
0:05:32,6200,0.2827,-0.4400,0.4887,0.0034,0.4800,0.0406,0.0229
0:05:37,6300,0.2382,-0.4143,0.3392,0.0050,0.4323,0.0473,0.0842
0:05:41,6400,0.3399,-0.6082,0.5354,0.0076,0.5724,0.0505,0.0115
0:05:45,6500,0.2727,-0.4713,0.2584,0.0100,0.4713,0.0453,0.0319
0:05:50,6600,0.2530,-0.3954,0.2371,0.0042,0.3657,0.0410,0.0198
0:05:54,6700,0.1348,-0.3553,0.0478,0.0095,0.3869,0.0443,0.0283
0:05:58,6800,0.2982,-0.4601,0.2931,0.0009,0.4467,0.0425,0.0158
0:06:03,6900,0.2260,-0.4193,0.0382,0.0056,0.3798,0.0434,0.0073
0:06:07,7000,0.0927,-0.3493,0.0911,0.0050,0.3779,0.0521,0.0125
0:06:22,7100,0.2126,-0.4960,0.3882,0.0046,0.5485,0.0534,0.0584
0:06:26,7200,0.1830,-0.3575,0.1865,0.0013,0.3673,0.0400,0.0141
0:06:31,7300,0.1165,-0.3435,0.2047,0.0036,0.3828,0.0407,0.0263
0:06:35,7400,0.1679,-0.3412,0.1938,0.0032,0.3139,0.0364,0.0222
0:06:39,7500,0.1364,-0.2744,0.1525,0.0037,0.3013,0.0416,0.0219
0:06:44,7600,0.1806,-0.3578,0.0429,0.0037,0.3438,0.0388,0.0386
0:06:48,7700,0.1363,-0.3031,0.2245,0.0066,0.2504,0.0401,0.0020
0:06:52,7800,0.2908,-0.4135,0.0345,0.0029,0.4406,0.0417,0.0100
0:06:57,7900,0.1833,-0.3959,0.0600,0.0024,0.4192,0.0395,0.0146
0:07:01,8000,0.1206,-0.3051,0.0480,0.0070,0.3100,0.0354,0.0184
0:07:17,8100,0.2299,-0.3828,0.1345,0.0040,0.3718,0.0362,0.0116
0:07:21,8200,0.1911,-0.3671,0.0949,0.0059,0.3639,0.0348,0.0041
0:07:25,8300,0.1466,-0.3800,0.0625,0.0046,0.3663,0.0464,0.0079
0:07:29,8400,0.0992,-0.2578,0.2515,0.0019,0.2369,0.0379,0.0310
0:07:34,8500,0.0737,-0.3235,0.0158,0.0058,0.3358,0.0415,0.0065
0:07:38,8600,0.1481,-0.3248,0.0473,0.0037,0.3526,0.0448,0.0038
0:07:42,8700,0.1267,-0.2798,0.2630,0.0074,0.2881,0.0386,0.0078
0:07:47,8800,-0.1522,0.0283,0.2003,0.2018,-0.0242,0.0479,0.0102
0:07:51,8900,0.2509,-0.3805,0.1266,0.0026,0.3788,0.0344,0.0124
0:07:55,9000,0.1010,-0.2614,0.1915,0.0044,0.2714,0.0422,0.0187
0:08:10,9100,0.1631,-0.3297,0.3871,0.0041,0.3012,0.0405,0.0183
0:08:14,9200,0.1573,-0.3171,0.2049,0.0043,0.3109,0.0375,0.0144
0:08:19,9300,0.0929,-0.2608,0.0199,0.0051,0.2956,0.0377,0.0050
0:08:23,9400,0.0749,-0.2765,0.1893,0.0032,0.3002,0.0397,0.0635
0:08:27,9500,0.0542,-0.2343,0.1835,0.0039,0.2460,0.0381,0.0048
0:08:32,9600,0.1539,-0.3480,0.1300,0.0031,0.3650,0.0436,0.0330
0:08:36,9700,0.0631,-0.2564,0.2587,0.0028,0.2721,0.0380,0.0215
0:08:40,9800,0.1151,-0.3051,0.0964,0.0024,0.2828,0.0408,0.1014
0:08:45,9900,0.0946,-0.4321,0.0691,0.0052,0.4432,0.0548,0.0193
0:08:49,10000,0.2072,-0.4657,0.1216,0.0038,0.4573,0.0430,0.0066
0:12:04,10100,0.1320,-0.3776,0.0238,0.0053,0.4079,0.0400,0.0083
0:12:08,10200,0.0882,-0.3359,0.1307,0.0054,0.3282,0.0434,0.0226
0:12:13,10300,-0.0115,-0.2506,0.0483,0.0044,0.3036,0.0438,0.1332
0:12:17,10400,0.1105,-0.3442,0.1972,0.0017,0.3148,0.0428,0.0275
