Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_dom,D/loss_gp,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot
0:00:05,100,-0.7665,0.2669,1.3810,2.7024,0.0014,-0.2698,0.2627,1.3898,2.7034,0.2522
0:00:08,200,-0.4075,0.0765,1.3168,2.7190,0.0031,-0.1815,0.1094,1.3985,2.7139,0.1210
0:00:10,300,-0.4060,-0.0080,0.8813,2.7033,0.0014,-0.0592,0.1017,1.1632,2.7014,0.1403
0:00:13,400,-0.5962,0.3295,1.0751,2.7015,0.0030,-0.3214,0.0766,1.0188,2.7111,0.1097
0:00:16,500,-0.7548,0.4991,0.9165,2.6992,0.0032,-0.4843,0.0852,0.8848,2.7015,0.1317
0:00:19,600,-0.7996,0.4070,0.7307,2.7190,0.0025,-0.4036,0.0783,0.7972,2.7167,0.1216
0:00:21,700,-0.6243,0.3355,0.8193,2.7056,0.0024,-0.3198,0.0685,0.7970,2.6921,0.1088
0:00:24,800,-0.7374,0.5441,0.8699,2.7005,0.0012,-0.5631,0.0614,0.7091,2.7004,0.0900
0:00:26,900,-0.6483,0.4191,0.8430,2.6868,0.0029,-0.4518,0.0675,1.0559,2.6802,0.1024
0:00:29,1000,-0.5547,0.3484,0.7489,2.7099,0.0025,-0.3875,0.0637,0.6109,2.7017,0.0733
0:01:05,1100,-0.7021,0.4557,0.8541,2.7083,0.0024,-0.4010,0.0649,0.6050,2.7139,0.1022
0:01:07,1200,-0.6096,0.3683,0.8098,2.6871,0.0011,-0.3828,0.0600,0.6145,2.6940,0.0846
0:01:10,1300,-0.6505,0.3977,0.6468,2.7220,0.0015,-0.4100,0.0615,0.5818,2.7124,0.0943
0:01:13,1400,-0.6493,0.3810,0.6177,2.7059,0.0009,-0.3936,0.0658,0.6958,2.7305,0.0964
0:01:16,1500,-0.6931,0.4453,0.7382,2.7092,0.0027,-0.4452,0.0673,0.6177,2.7204,0.1045
0:01:19,1600,-0.5904,0.3257,0.9290,2.6980,0.0006,-0.3247,0.0563,0.5976,2.7215,0.0890
0:01:22,1700,-0.6185,0.4041,0.7615,2.6933,0.0015,-0.4091,0.0560,0.6472,2.6879,0.0646
0:01:24,1800,-0.6061,0.3506,0.5886,2.7188,0.0006,-0.3434,0.0660,0.4810,2.7001,0.0847
0:01:28,1900,-0.6224,0.3846,0.8157,2.7271,0.0014,-0.4029,0.0548,0.4795,2.7286,0.0733
0:01:30,2000,-0.5947,0.2833,0.5176,2.6872,0.0024,-0.2544,0.0757,0.3632,2.6697,0.1031
0:02:05,2100,-0.6671,0.4211,0.9165,2.7030,0.0006,-0.4040,0.0507,0.6725,2.6977,0.0960
0:02:08,2200,-0.6062,0.3093,0.5088,2.7226,0.0012,-0.3007,0.0675,0.4225,2.7245,0.1160
0:02:11,2300,-0.5229,0.2077,0.8544,2.6983,0.0008,-0.2270,0.0572,0.6143,2.7093,0.1038
0:02:14,2400,-0.4719,0.2534,0.7115,2.6977,0.0011,-0.2525,0.0551,0.4873,2.6731,0.0641
0:02:17,2500,-0.4927,0.2630,0.6258,2.7205,0.0009,-0.2544,0.0600,0.3977,2.7182,0.0863
0:02:19,2600,-0.6307,0.3261,0.6601,2.7145,0.0021,-0.3282,0.0617,0.5661,2.7250,0.0887
0:02:22,2700,-0.5521,0.2390,0.6040,2.6978,0.0055,-0.2319,0.0578,0.5200,2.6935,0.0986
0:02:25,2800,-0.5055,0.2758,0.6799,2.7095,0.0004,-0.2798,0.0635,0.4661,2.7421,0.0674
0:02:28,2900,-0.5074,0.2186,0.6228,2.7219,0.0011,-0.2147,0.0564,0.5334,2.7402,0.0866
0:02:31,3000,-0.4940,0.2222,0.7994,2.7240,0.0016,-0.2338,0.0529,0.5273,2.7212,0.0856
0:03:07,3100,-0.5189,0.2511,0.5934,2.6872,0.0006,-0.2447,0.0650,0.3804,2.7269,0.0923
0:03:10,3200,-0.5090,0.1973,0.5646,2.7149,0.0013,-0.2039,0.0521,0.5214,2.7095,0.0846
0:03:12,3300,-0.4747,0.2298,0.7545,2.7094,0.0019,-0.2285,0.0516,0.5379,2.7506,0.0778
0:03:15,3400,-0.5251,0.2560,0.6163,2.7071,0.0040,-0.2369,0.0572,0.3533,2.7010,0.0728
0:03:18,3500,-0.4931,0.3217,0.8237,2.6951,0.0031,-0.3091,0.0531,0.3704,2.7266,0.0669
0:03:21,3600,-0.3925,0.2543,0.7047,2.6928,0.0025,-0.2745,0.0577,0.2897,2.7016,0.0568
0:03:24,3700,-0.4400,0.2862,0.4480,2.6731,0.0007,-0.2950,0.0558,0.3833,2.6555,0.0717
0:03:27,3800,-0.5200,0.3475,0.4263,2.6863,0.0034,-0.3580,0.0681,0.2845,2.7166,0.0755
0:03:30,3900,-0.4938,0.3335,0.6254,2.6850,0.0009,-0.3374,0.0544,0.2862,2.7147,0.0622
0:03:32,4000,-0.4080,0.2390,0.7025,2.7002,0.0010,-0.2576,0.0516,0.3273,2.7093,0.0635
0:04:09,4100,-0.4433,0.3486,0.5627,2.6627,0.0018,-0.3557,0.0630,0.2853,2.7028,0.0755
0:04:12,4200,-0.4324,0.2965,0.5801,2.6835,0.0004,-0.3028,0.0437,0.3054,2.6626,0.0511
0:04:15,4300,-0.4396,0.3136,0.5975,2.7286,0.0022,-0.3036,0.0556,0.2388,2.7304,0.0562
0:04:18,4400,-0.3987,0.2841,0.4963,2.7350,0.0009,-0.2898,0.0502,0.2491,2.7063,0.0596
0:04:21,4500,-0.4742,0.2903,0.6470,2.7152,0.0034,-0.2697,0.0532,0.1779,2.7549,0.0718
0:04:24,4600,-0.3855,0.2662,0.4166,2.7196,0.0014,-0.2682,0.0480,0.2108,2.7129,0.0611
0:04:26,4700,-0.3406,0.2383,0.6642,2.7452,0.0038,-0.2755,0.0487,0.1684,2.7376,0.0540
0:04:29,4800,-0.4677,0.3030,0.5361,2.6933,0.0011,-0.2889,0.0528,0.1622,2.6915,0.0710
